citrus fruit,other vegetables,,
root vegetables,,,
canned beer,,,
whole milk,curd,baking powder,
brown bread,soda,,
sausage,whole milk,bottled beer,
pork,berries,onions,
citrus fruit,male cosmetics,,
rolls/buns,,,
butter,bottled beer,liquor,
chocolate,,,
detergent,,,
beverages,rolls/buns,,
sweet spreads,hygiene articles,house keeping products,
domestic eggs,,,
skin care,napkins,,
rolls/buns,,,
UHT-milk,candy,napkins,
rolls/buns,,,
frozen meals,soda,specialty chocolate,
other vegetables,whole milk,brown bread,napkins
pork,onions,shopping bags,
canned beer,,,
pip fruit,beverages,pastry,hygiene articles
whole milk,cream cheese,,
root vegetables,margarine,pet care,
frankfurter,rolls/buns,napkins,
bottled beer,liquor,,
bottled beer,,,
whole milk,curd,brown bread,
sausage,rolls/buns,soda,
sausage,rolls/buns,brandy,
chocolate,,,
butter,soda,fruit/vegetable juice,bottled beer
citrus fruit,,,
frankfurter,brown bread,bottled beer,
salty snack,,,
root vegetables,,,
rolls/buns,soda,,
beverages,domestic eggs,misc. beverages,
canned beer,,,
turkey,,,
pip fruit,pastry,,
whole milk,bottled water,,
frozen vegetables,specialty chocolate,,
beverages,,,
pork,yogurt,coffee,
rolls/buns,,,
pasta,soda,long life bakery product,
rolls/buns,napkins,shopping bags,
whole milk,cake bar,,
pip fruit,soda,cake bar,specialty chocolate
beef,,,
yogurt,hygiene articles,newspapers,shopping bags
female sanitary products,,,
bottled water,,,
root vegetables,other vegetables,whole milk,
grapes,sugar,cling film/bags,
soda,,,
beverages,,,
rolls/buns,,,
specialty chocolate,,,
newspapers,flower soil/fertilizer,,
soda,,,
bottled water,soda,,
beef,berries,yogurt,whipped/sour cream
other vegetables,butter milk,frozen fish,salty snack
canned beer,,,
dessert,bottled water,soda,
canned beer,,,
citrus fruit,other vegetables,soda,
tropical fruit,yogurt,cream cheese,
yogurt,frozen meals,soda,
other vegetables,nut snack,,
jam,hygiene articles,,
frozen dessert,soda,,
yogurt,rolls/buns,,
curd,yogurt,,
pastry,,,
beverages,,,
sausage,yogurt,cream,
other vegetables,whole milk,cream cheese,
whole milk,,,
tropical fruit,butter,brown bread,
frankfurter,rolls/buns,soda,
beverages,rolls/buns,,
yogurt,long life bakery product,,
butter milk,salt,vinegar,cat food
soda,specialty bar,,
frozen potato products,rolls/buns,brown bread,
UHT-milk,,,
seasonal products,,,
UHT-milk,canned beer,,
beef,hamburger meat,other vegetables,sliced cheese
pip fruit,cream cheese,cookware,
pickled vegetables,,,
soda,female sanitary products,,
soda,,,
yogurt,frozen vegetables,,
whole milk,cake bar,,
whole milk,cream cheese,specialty chocolate,candy
citrus fruit,whole milk,,
rolls/buns,,,
frankfurter,rolls/buns,bottled water,
packaged fruit/vegetables,,,
other vegetables,whole milk,rolls/buns,flour
pet care,,,
newspapers,,,
whole milk,frozen vegetables,,
sausage,yogurt,cat food,
dessert,UHT-milk,newspapers,shopping bags
turkey,beef,semi-finished bread,
dessert,nut snack,specialty chocolate,
shopping bags,,,
photo/film,,,
hard cheese,,,
bottled beer,,,
tropical fruit,rolls/buns,newspapers,
root vegetables,herbs,,
sausage,specialty bar,,
specialty chocolate,,,
pork,,,
bottled beer,,,
yogurt,,,
meat,specialty bar,,
root vegetables,,,
beef,specialty chocolate,,
pork,butter,soda,hygiene articles
soda,canned beer,,
whole milk,margarine,soda,
tropical fruit,dessert,sweet spreads,fruit/vegetable juice
yogurt,,,
pork,other vegetables,,
root vegetables,margarine,candles,
yogurt,artif. sweetener,,
tropical fruit,margarine,rum,
misc. beverages,dishes,,
brown bread,meat spreads,bottled water,fruit/vegetable juice
frankfurter,,,
dessert,dishes,,
tropical fruit,pasta,candy,
frankfurter,pork,specialty fat,specialty bar
other vegetables,soda,specialty bar,
frankfurter,domestic eggs,,
root vegetables,herbs,,
bottled water,potted plants,,
bottled water,newspapers,,
root vegetables,whole milk,whipped/sour cream,soda
soda,,,
whole milk,,,
rolls/buns,brown bread,,
root vegetables,yogurt,soda,popcorn
curd cheese,bottled beer,,
sparkling wine,,,
pastry,soda,,
canned beer,,,
rolls/buns,,,
coffee,,,
domestic eggs,,,
citrus fruit,tropical fruit,prosecco,
rolls/buns,brown bread,,
curd,cat food,soda,
chicken,citrus fruit,softener,
soda,,,
frankfurter,rolls/buns,,
canned beer,,,
oil,,,
pastry,,,
chicken,,,
canned beer,shopping bags,,
bottled beer,newspapers,,
sausage,dish cleaner,dishes,
chewing gum,,,
sausage,white bread,bottled beer,
pastry,potted plants,,
bottled water,soda,salty snack,
tropical fruit,dishes,,
waffles,,,
berries,soda,,
meat spreads,specialty bar,,
specialty bar,hygiene articles,,
frozen vegetables,,,
bottled water,liquor (appetizer),specialty bar,
soda,,,
bottled beer,red/blush wine,,
bottled water,soda,bottled beer,dental care
meat,specialty chocolate,,
pastry,house keeping products,,
bottled water,,,
white wine,shopping bags,,
chicken,other vegetables,oil,
soda,,,
other vegetables,yogurt,fruit/vegetable juice,shopping bags
UHT-milk,soda,,
whole milk,,,
pip fruit,,,
frozen fish,,,
whipped/sour cream,,,
canned beer,,,
meat,citrus fruit,hard cheese,soda
waffles,,,
pip fruit,,,
soda,,,
frankfurter,rolls/buns,,
condensed milk,coffee,,
ice cream,,,
canned beer,,,
tropical fruit,whole milk,,
dog food,soda,fruit/vegetable juice,bottled beer
soda,waffles,,
dessert,beverages,ice cream,soda
rolls/buns,bottled beer,hygiene articles,
red/blush wine,specialty chocolate,,
ice cream,frozen dessert,salty snack,
frankfurter,margarine,dental care,
whole milk,pastry,,
rolls/buns,newspapers,,
yogurt,,,
candy,,,
coffee,,,
citrus fruit,oil,misc. beverages,
fish,liquor,,
liquor,chocolate marshmallow,,
canned beer,,,
rolls/buns,,,
condensed milk,soda,,
frankfurter,rolls/buns,,
canned beer,,,
yogurt,,,
onions,,,
tropical fruit,whole milk,soda,red/blush wine
sausage,rolls/buns,soda,
sausage,meat,bottled water,
chewing gum,,,
other vegetables,yogurt,cream cheese,
rolls/buns,margarine,newspapers,
sausage,rolls/buns,coffee,
whole milk,bottled beer,,
bottled beer,,,
canned beer,,,
bottled water,,,
canned vegetables,,,
newspapers,,,
pastry,,,
root vegetables,whole milk,curd,yogurt
grapes,cream cheese,,
bottled water,specialty chocolate,,
whole milk,shopping bags,,
bottled beer,,,
bottled water,soda,,
pet care,coffee,bottled beer,
white bread,,,
rolls/buns,white bread,,
rolls/buns,canned beer,,
whipped/sour cream,beverages,fruit/vegetable juice,chocolate
whole milk,bottled water,soda,canned beer
sliced cheese,rolls/buns,canned beer,
tropical fruit,soda,salty snack,
hamburger meat,pastry,,
coffee,seasonal products,shopping bags,
pip fruit,yogurt,cream cheese,meat spreads
sugar,canned beer,,
root vegetables,,,
whole milk,rolls/buns,baking powder,chocolate
sausage,soda,,
coffee,,,
pork,other vegetables,whipped/sour cream,
root vegetables,whole milk,,
soda,,,
bottled water,white wine,salty snack,
fruit/vegetable juice,,,
dog food,,,
pastry,,,
bottled beer,,,
canned beer,,,
frankfurter,dessert,,
rolls/buns,,,
margarine,hygiene articles,,
fruit/vegetable juice,,,
yogurt,frozen fish,ice cream,
salty snack,,,
whipped/sour cream,,,
coffee,soda,,
beverages,rolls/buns,fruit/vegetable juice,
fruit/vegetable juice,,,
canned beer,,,
rolls/buns,bottled water,shopping bags,
root vegetables,shopping bags,,
nuts/prunes,,,
beverages,chocolate,,
rolls/buns,pasta,bottled beer,
newspapers,,,
canned vegetables,,,
coffee,,,
other vegetables,,,
other vegetables,whole milk,rice,fruit/vegetable juice
whole milk,frozen vegetables,,
liquor,,,
fruit/vegetable juice,nut snack,,
rolls/buns,canned fruit,,
meat,yogurt,,
whole milk,rolls/buns,pastry,newspapers
pork,beverages,white bread,
frozen meals,,,
chicken,,,
whole milk,frozen vegetables,,
butter milk,white bread,pet care,newspapers
hamburger meat,,,
domestic eggs,rolls/buns,flour,
chocolate,,,
whole milk,frozen vegetables,,
rolls/buns,margarine,tea,bottled beer
sausage,meat,tropical fruit,cream cheese
sausage,soda,bottled beer,
female sanitary products,,,
tropical fruit,,,
sausage,,,
other vegetables,bottled water,,
processed cheese,,,
liqueur,,,
pet care,,,
rolls/buns,,,
whole milk,potted plants,,
soda,,,
canned beer,,,
oil,,,
specialty cheese,frozen meals,soda,shopping bags
yogurt,,,
soda,,,
canned beer,liquor,,
chicken,other vegetables,salt,
pet care,bottled water,,
beef,white wine,,
curd,whipped/sour cream,bottled water,
soda,bottled beer,,
soda,,,
sausage,ham,hard cheese,sauces
soda,chewing gum,newspapers,photo/film
whipped/sour cream,frozen vegetables,newspapers,
curd,seasonal products,female sanitary products,
citrus fruit,whole milk,soft cheese,canned beer
pastry,soda,specialty bar,
soda,chocolate,specialty chocolate,
processed cheese,brown bread,,
pet care,,,
grapes,rolls/buns,pastry,bottled beer
curd,semi-finished bread,baking powder,
pip fruit,canned beer,,
napkins,,,
rolls/buns,bottled beer,,
sausage,soda,specialty chocolate,
light bulbs,,,
other vegetables,,,
whole milk,newspapers,,
canned beer,,,
whole milk,rolls/buns,bottled water,
beverages,,,
bottled water,,,
UHT-milk,brown bread,coffee,shopping bags
tropical fruit,other vegetables,yogurt,
whole milk,,,
soda,canned beer,,
citrus fruit,berries,butter milk,yogurt
tropical fruit,bottled water,bottled beer,hygiene articles
brown bread,jam,fruit/vegetable juice,
sugar,,,
canned beer,chewing gum,,
frankfurter,rolls/buns,,
tropical fruit,pastry,soda,chocolate
napkins,,,
finished products,yogurt,pasta,
bottled beer,,,
onions,yogurt,frozen vegetables,
condensed milk,pastry,female sanitary products,shopping bags
other vegetables,whole milk,rolls/buns,Instant food products
rolls/buns,bottled beer,,
shopping bags,,,
domestic eggs,pastry,,
ham,other vegetables,,
pip fruit,yogurt,,
canned beer,,,
canned beer,,,
bottled beer,newspapers,,
root vegetables,whole milk,long life bakery product,cling film/bags
whole milk,meat spreads,soda,
canned beer,,,
bottled water,soda,,
curd,soda,cake bar,
waffles,specialty chocolate,,
tidbits,rolls/buns,coffee,salty snack
long life bakery product,,,
chicken,pip fruit,spices,white wine
brown bread,pastry,pasta,
canned beer,,,
newspapers,,,
bottled beer,,,
bottled beer,,,
yogurt,rolls/buns,,
curd,flour,liquor (appetizer),
butter milk,rolls/buns,long life bakery product,
chicken,,,
berries,brown bread,,
pastry,soda,shopping bags,
whole milk,flour,margarine,sugar
root vegetables,,,
other vegetables,whole milk,white bread,chewing gum
other vegetables,,,
citrus fruit,pickled vegetables,meat spreads,specialty chocolate
sausage,yogurt,white wine,
chicken,coffee,,
canned beer,shopping bags,,
frozen fish,hygiene articles,shopping bags,
pastry,bottled water,specialty chocolate,
other vegetables,soft cheese,,
whole milk,,,
sausage,bottled water,white wine,
misc. beverages,,,
ham,bottled water,soda,
yogurt,,,
whole milk,dessert,,
pastry,soda,,
citrus fruit,dessert,newspapers,
butter,rolls/buns,salt,
root vegetables,,,
pork,root vegetables,whole milk,whipped/sour cream
other vegetables,,,
coffee,,,
newspapers,,,
frozen meals,,,
UHT-milk,,,
citrus fruit,pip fruit,,
canned beer,,,
berries,,,
rolls/buns,white bread,waffles,
processed cheese,rolls/buns,soda,
canned beer,,,
whole milk,yogurt,chocolate,
condensed milk,frozen dessert,,
beef,other vegetables,,
semi-finished bread,instant coffee,,
rolls/buns,soda,,
packaged fruit/vegetables,,,
waffles,,,
packaged fruit/vegetables,brown bread,canned beer,
canned beer,,,
beverages,misc. beverages,,
sausage,rolls/buns,fruit/vegetable juice,
bottled water,soda,misc. beverages,bottled beer
berries,other vegetables,yogurt,
canned beer,,,
oil,,,
root vegetables,yogurt,,
rolls/buns,Instant food products,,
bottled beer,brandy,specialty chocolate,
rolls/buns,,,
citrus fruit,rolls/buns,,
canned beer,,,
pork,,,
ham,whole milk,rolls/buns,
ice cream,soda,fruit/vegetable juice,
frankfurter,bottled beer,,
other vegetables,yogurt,whipped/sour cream,newspapers
citrus fruit,bottled beer,white wine,
frozen fish,liquor (appetizer),,
other vegetables,,,
napkins,,,
whole milk,long life bakery product,chocolate,
hamburger meat,shopping bags,,
whole milk,beverages,,
specialty chocolate,,,
waffles,,,
curd,bottled water,photo/film,
canned beer,,,
root vegetables,,,
salty snack,,,
frankfurter,domestic eggs,rolls/buns,
whole milk,pastry,,
chicken,frozen vegetables,frozen meals,frozen dessert
soda,,,
frozen dessert,semi-finished bread,,
rolls/buns,,,
whole milk,whipped/sour cream,,
berries,frozen vegetables,frozen meals,
canned beer,,,
cream cheese,,,
salty snack,,,
domestic eggs,,,
whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product
turkey,whole milk,liquor (appetizer),shopping bags
salty snack,candy,,
curd,yogurt,frozen vegetables,
dessert,,,
roll products,newspapers,,
citrus fruit,bottled water,,
frozen vegetables,domestic eggs,pastry,
other vegetables,,,
soda,long life bakery product,,
zwieback,,,
onions,yogurt,ice cream,
canned beer,,,
bottled beer,liquor,red/blush wine,
whole milk,dessert,pastry,long life bakery product
beverages,,,
pork,,,
UHT-milk,soda,dish cleaner,napkins
coffee,bottled water,cling film/bags,
beef,,,
beverages,,,
pork,,,
white wine,chocolate,shopping bags,
soda,fruit/vegetable juice,,
other vegetables,whole milk,chocolate,
white bread,,,
ice cream,soda,bottled beer,chocolate marshmallow
Instant food products,soda,,
sausage,pip fruit,bottled water,
coffee,,,
chocolate,,,
whole milk,brown bread,,
beef,grapes,detergent,
tropical fruit,pip fruit,whole milk,pastry
dessert,soda,cake bar,shopping bags
whole milk,frozen fish,rolls/buns,pickled vegetables
rolls/buns,,,
yogurt,waffles,,
photo/film,,,
rolls/buns,soda,,
soda,bottled beer,specialty bar,
onions,,,
coffee,,,
bottled beer,liquor,,
other vegetables,,,
whole milk,frozen vegetables,bottled water,
beef,hamburger meat,,
whole milk,bottled water,,
other vegetables,dessert,waffles,light bulbs
brown bread,specialty chocolate,shopping bags,
bottled beer,,,
beef,yogurt,margarine,
whole milk,whipped/sour cream,,
bottled beer,,,
UHT-milk,margarine,bottled water,soda
frozen vegetables,frozen meals,,
pastry,,,
citrus fruit,tropical fruit,dessert,fruit/vegetable juice
frankfurter,sausage,,
root vegetables,potted plants,,
whole milk,,,
tropical fruit,yogurt,coffee,newspapers
soda,bottled beer,,
salt,salty snack,,
sausage,long life bakery product,,
frankfurter,,,
chocolate,dishes,,
whole milk,yogurt,,
beef,,,
frankfurter,rolls/buns,chocolate,
UHT-milk,soda,,
chicken,red/blush wine,,
butter milk,pastry,,
pastry,coffee,,
onions,,,
frankfurter,hamburger meat,beverages,shopping bags
pastry,soda,,
whole milk,,,
canned beer,,,
whole milk,dessert,yogurt,white bread
canned beer,,,
coffee,,,
soda,canned beer,,
chicken,,,
pork,,,
tropical fruit,,,
frankfurter,butter,brown bread,
bottled beer,,,
rolls/buns,newspapers,,
specialty cheese,soda,,
pip fruit,yogurt,ice cream,soda
whole milk,canned beer,,
tropical fruit,pastry,canned beer,chocolate
ham,tropical fruit,newspapers,
berries,waffles,specialty chocolate,
white wine,,,
other vegetables,dessert,sugar,
other vegetables,cream cheese,rolls/buns,
soda,specialty bar,,
packaged fruit/vegetables,,,
soda,,,
bottled water,bottled beer,,
whole milk,cereals,,
coffee,,,
soda,,,
frozen meals,pet care,soda,
curd,,,
yogurt,domestic eggs,pastry,
other vegetables,butter milk,rolls/buns,meat spreads
red/blush wine,,,
rolls/buns,margarine,,
frankfurter,,,
pork,UHT-milk,rolls/buns,margarine
canned beer,,,
whole milk,cream cheese,coffee,
yogurt,margarine,fruit/vegetable juice,shopping bags
hamburger meat,,,
other vegetables,chewing gum,,
rolls/buns,soda,waffles,chewing gum
whole milk,bottled water,fruit/vegetable juice,
turkey,,,
meat,other vegetables,,
specialty chocolate,specialty bar,,
photo/film,,,
rolls/buns,red/blush wine,,
rolls/buns,soda,,
light bulbs,,,
sugar,specialty bar,,
bottled beer,,,
canned beer,specialty chocolate,candy,shopping bags
brown bread,sparkling wine,,
ice cream,semi-finished bread,,
onions,fruit/vegetable juice,,
beef,citrus fruit,butter,fruit/vegetable juice
flour,,,
citrus fruit,root vegetables,butter milk,oil
soda,,,
pork,,,
pip fruit,rolls/buns,soda,skin care
pip fruit,soda,canned beer,
other vegetables,,,
citrus fruit,,,
bottled beer,,,
citrus fruit,dessert,seasonal products,
cream cheese,spread cheese,rolls/buns,
frozen fish,canned beer,red/blush wine,
soda,misc. beverages,,
whipped/sour cream,cream cheese,,
coffee,,,
cream cheese,coffee,bottled water,
whole milk,,,
rolls/buns,,,
frankfurter,yogurt,domestic eggs,
pork,other vegetables,sliced cheese,white bread
other vegetables,whole milk,rolls/buns,sugar
whole milk,curd,rolls/buns,
finished products,rolls/buns,,
yogurt,hard cheese,sugar,bottled beer
grapes,misc. beverages,fruit/vegetable juice,
whipped/sour cream,newspapers,,
meat,curd,white bread,
rolls/buns,prosecco,salty snack,
rolls/buns,newspapers,,
bottled beer,,,
soda,,,
frankfurter,rolls/buns,,
mayonnaise,white wine,shopping bags,
brown bread,,,
beef,root vegetables,whole milk,margarine
newspapers,,,
pip fruit,other vegetables,whole milk,
sausage,meat,,
pork,UHT-milk,bottled water,soda
seasonal products,shopping bags,,
soda,,,
beverages,soda,,
yogurt,,,
sausage,other vegetables,rolls/buns,
soda,,,
pastry,chocolate,chocolate marshmallow,
pork,newspapers,,
soda,,,
tropical fruit,,,
long life bakery product,,,
hamburger meat,whole milk,coffee,
yogurt,soft cheese,rolls/buns,specialty bar
pork,,,
margarine,napkins,,
chicken,other vegetables,chewing gum,shopping bags
UHT-milk,instant coffee,,
bottled beer,,,
canned beer,,,
tropical fruit,pasta,bottled water,
pork,frozen potato products,soda,
whipped/sour cream,,,
ham,other vegetables,whole milk,frozen vegetables
other vegetables,white bread,pastry,shopping bags
finished products,candy,,
soda,bottled beer,,
sausage,root vegetables,domestic eggs,dish cleaner
sliced cheese,canned beer,,
rolls/buns,red/blush wine,photo/film,
domestic eggs,dish cleaner,hygiene articles,
other vegetables,rolls/buns,white wine,
onions,,,
canned beer,,,
specialty bar,,,
rolls/buns,soda,,
canned beer,,,
butter,sugar,fruit/vegetable juice,newspapers
napkins,dishes,,
coffee,,,
cat food,chocolate,,
citrus fruit,pastry,,
citrus fruit,other vegetables,brown bread,
meat,whole milk,yogurt,
whipped/sour cream,,,
dessert,,,
frozen vegetables,seasonal products,hygiene articles,newspapers
waffles,shopping bags,,
other vegetables,rolls/buns,hair spray,
pip fruit,grapes,whole milk,rolls/buns
frankfurter,whole milk,coffee,detergent
frozen meals,,,
shopping bags,,,
other vegetables,brown bread,spices,white wine
beef,,,
whole milk,curd,yogurt,pastry
root vegetables,whole milk,long life bakery product,
napkins,,,
sausage,rolls/buns,pastry,cat food
rolls/buns,,,
berries,,,
other vegetables,margarine,,
whole milk,,,
bottled beer,,,
fruit/vegetable juice,,,
rolls/buns,,,
citrus fruit,pip fruit,ice cream,bottled water
sausage,rolls/buns,chocolate,
pip fruit,onions,whole milk,
whole milk,,,
chocolate,,,
rolls/buns,brown bread,,
finished products,soda,specialty chocolate,
frozen chicken,fruit/vegetable juice,bottled beer,shopping bags
whole milk,yogurt,chocolate,
root vegetables,other vegetables,,
chicken,candy,,
soda,,,
coffee,fruit/vegetable juice,dishes,
candy,hygiene articles,,
whole milk,,,
whole milk,,,
UHT-milk,newspapers,,
chicken,white wine,shopping bags,
root vegetables,dog food,bottled water,
sausage,citrus fruit,,
whipped/sour cream,,,
butter,hard cheese,canned beer,
coffee,female sanitary products,napkins,
chicken,,,
whole milk,ice cream,shopping bags,
frankfurter,rolls/buns,canned beer,
hamburger meat,other vegetables,,
frankfurter,white wine,dish cleaner,
shopping bags,,,
rolls/buns,,,
other vegetables,whipped/sour cream,condensed milk,salt
curd,,,
whole milk,newspapers,,
pip fruit,hygiene articles,,
frozen meals,,,
butter,yogurt,rolls/buns,soda
tropical fruit,pastry,soda,
rolls/buns,soda,,
pastry,soda,,
soft cheese,soda,white wine,
pork,cat food,,
root vegetables,herbs,whipped/sour cream,domestic eggs
baby cosmetics,,,
